uem_maputo,maravia,massangulo_1,nanhupo_1,dindiza,nhapassa_1
993.9818,,,,,
991.3206,,,,,
989.9899,,,,,
984.6674,,,,,
984.6674,,,,,
984.6674,,,,,
980.6755,,,,,
976.6836,,,,,
976.6836,,,,,
974.0223,,,,,
971.3611,,,,,
971.3611,,,,,
970.0305,,,,,
964.708,,,,,
963.3773,,,,,
962.0466,,,,,
959.3854,,,,,
956.7241,,,,,
952.7322,,,,,
958.0548,,,,,
950.071,,,,,
950.071,,,,,
944.7485,,,,,
942.0872,,,,,
1027.248,,,,,
938.0953,,,,,
935.434,,,,,
936.7647,,,,,
932.7728,,,,,
931.4421,,,,,
926.1196,,,,,
926.1196,,,,,
923.4583,,,,,
920.7971,,,,,
919.4664,,,,,
918.1358,,,,,
915.4746,,,,,
910.152,,,,,
907.4908,,,,,
908.8214,,,,,
907.4908,,,,,
903.4988,,,,,
899.507,,,,,
907.4908,,,,,
895.5151,,,,,
894.1845,,,,,
892.8538,,,,,
891.5232,,,,,
887.5313,,,,,
882.2087,,,,,
880.8781,,,,,
876.8862,,,,,
872.8944,,,,,
870.2331,,,,,
870.2331,,,,,
864.9105,,,,,
862.2493,,,,,
856.9268,,,,,
858.2574,,,,,
854.2655,,,,,
854.2655,,,,,
852.9349,,,,,
847.6124,,,,,
848.943,,,,,
844.9511,,,,,
839.6285,,,,,
835.6367,,,,,
835.6367,,,,,
830.3142,,,,,
826.3222,,,,,
824.9916,,,,,
820.9997,,,,,
817.0078,,,,,
817.0078,,,,,
814.3466,,,,,
811.6853,,,,,
807.6934,,,,,
807.6934,,,,,
806.3627,,,,,
801.0402,,,,,
799.7096,,,,,
794.3871,,,,,
791.7258,,,,,
789.0646,,,,,
787.7339,,,,,
783.742,,,,,
777.0889,,,,,
777.0889,,,,,
771.7664,,,,,
769.1051,,,,,
771.7664,,,,,
766.4438,,,,,
759.7907,,,,,
758.46,,,,,
757.1294,,,,,
755.7988,,,,,
753.1375,,,,,
750.4763,,,,,
746.4843,,,,,
742.4924,,,,,
739.8312,,,,,
737.1699,,,,,
734.5087,,,,,
731.8474,,,,,
726.5248,,,,,
719.8717,,,,,
719.8717,,,,,
718.5411,,,,,
714.5492,,,,,
710.5573,,,,,
705.2347,,,,,
703.9041,,,,,
702.5735,,,,,
699.9122,,,,,
694.5897,,,,,
690.5978,,,,,
686.6059,,,,,
682.614,,,,,
678.6221,,,,,
674.6303,,,,,
670.6383,,,,,
666.6464,,,,,
662.6545,,,,,
657.332,,,,,
653.3402,,,,,
649.3482,,,,,
645.3563,,,,,
644.0257,,,,,
641.3644,,,,,
638.7032,,,,,
634.7113,,,,,
632.05,,,,,
626.7275,,,,,
691.9285,,,,,
614.7518,,,,,
614.7518,,,,,
609.4293,,,,,
609.4293,,,,,
605.4374,,,,,
605.4374,,,,,
598.7842,,,,,
596.123,,,,,
592.131,,,,,
588.1392,,,,,
585.4779,,,,,
584.1473,,,,,
581.486,,,,,
576.1635,,,,,
573.5022,,,,,
569.5103,,,,,
568.1797,,,,,
565.5184,,,,,
561.5266,,,,,
558.8653,,,,,
553.5427,,,,,
550.8815,,,,,
548.2202,,,,,
544.2283,,,,,
540.2365,,,,,
536.2446,,,,,
532.2526,,,,,
528.2607,,,,,
524.2689,,,,,
521.6076,,,,,
518.9464,,,,,
514.9544,,,,,
510.9625,,,,,
505.64,,,,,
501.6481,,,,,
497.6562,,,,,
493.6643,,,,,
489.6724,,,,,
487.0112,,,,,
484.3499,,,,,
481.6886,,,,,
479.0274,,,,,
473.7049,,,,,
469.713,,,,,
465.7211,,,,,
463.0598,,,,,
459.0679,,,,,
455.076,,,,,
449.7535,,,,,
445.7616,,,,,
